# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	116448
#@/user_id	desktop
a 	啊	c=174 d=2.53214 t=116448
mei zai 	沒在	c=7 d=1.83307e-41 t=116448
mei zen me 	沒怎麼	c=4 d=2.65353e-128 t=116448
mei zhang 	每張	c=1 d=5.55618e-234 t=116448
mei zhao dao 	沒找到	c=2 d=9.27782e-119 t=116448
mei zhong 	每種	c=1 d=0.0837432 t=116448
mei zhong jiang 	沒中獎	c=1 d=4.79148e-51 t=116448
mei zhou 	每週	c=1 d=1.68314e-184 t=116448
mei zhuang 	沒裝	c=1 d=0.32628 t=116448
mei zi 	妹子	c=6 d=0.530413 t=116448
mei zuo 	沒做	c=2 d=9.12503e-12 t=116448
men 	們	c=69 d=9.75947e-05 t=116448
men 	門	c=1 d=5.90712e-43 t=116448
men lu 	門路	c=2 d=0.99005 t=116448
men piao 	門票	c=2 d=2.19821e-51 t=116448
men shao 	燜燒	c=1 d=2.31126e-121 t=116448
men zhe bian 	們這邊	c=2 d=2.77765e-107 t=116448
men zhen 	門診	c=2 d=1.10014e-125 t=116448
men zhi qian 	們之前	c=1 d=2.11477e-17 t=116448
meng 	夢	c=26 d=3.41372 t=116448
meng 	猛	c=1 d=6.20536e-93 t=116448
meng 	蒙	c=1 d=4.56605e-131 t=116448
meng bi 	矇蔽	c=1 d=1.90057e-231 t=116448
meng xia 	夢霞	c=3 d=2.24036 t=116448
meng xing 	夢醒	c=1 d=6.23686e-35 t=116448
mi 	米	c=8 d=1.16536e-66 t=116448
mi an na ban na 	米安那般那	c=2 d=1.1712e-65 t=116448
mi ha you 	米哈游	c=1 d=6.98582e-75 t=116448
mi huo 	迷惑	c=0 d=1.9881e-56 t=116448
mi huo le 	迷惑了	c=1 d=1.99807e-55 t=116448
mi lan 	米蘭	c=1 d=5.57373e-36 t=116448
mi ma 	密碼	c=12 d=3.17303e-23 t=116448
mi mang 	迷茫	c=3 d=2.68197e-33 t=116448
mi mi yan 	眯眯眼	c=1 d=3.41e-167 t=116448
mi shu 	秘書	c=1 d=6.08357e-242 t=116448
mi tao 	蜜桃	c=1 d=2.31536e-83 t=116448
mi yao 	密鑰	c=7 d=6.05277e-80 t=116448
mi you 	密友	c=3 d=2.04963e-90 t=116448
mian 	免	c=5 d=0.970446 t=116448
mian 	麪	c=9 d=2.35892e-67 t=116448
mian ban 	面板	c=259 d=0.487803 t=116448
mian ban 	面版	c=1 d=2.89458e-239 t=116448
mian ban ba 	面板把	c=2 d=7.61902e-37 t=116448
mian de 	免得	c=23 d=1.02598e-37 t=116448
mian fei 	免費	c=3 d=0.965606 t=116448
mian li 	勉勵	c=1 d=0.0731678 t=116448
mian shi 	面試	c=2 d=2.89908e-81 t=116448
mian zi shang 	面子上	c=1 d=7.23565e-106 t=116448
miao 	廟	c=1 d=1.6124e-32 t=116448
miao 	瞄	c=17 d=3.0754e-11 t=116448
miao 	秒	c=12 d=9.42095e-08 t=116448
miao 	苗	c=1 d=2.27717e-152 t=116448
miao kai 	秒開	c=2 d=4.70041e-27 t=116448
miao le 	瞄了	c=2 d=3.22354e-35 t=116448
miao ni 	瞄你	c=1 d=2.02904e-177 t=116448
miao shu 	描述	c=34 d=0.0759154 t=116448
miao xiang 	妙想	c=1 d=8.869e-177 t=116448
miao xie 	描寫	c=1 d=1.71211e-179 t=116448
miao yi xia 	瞄一下	c=1 d=9.49559e-186 t=116448
mie you 	咩有	c=2 d=2.82636e-135 t=116448
min jian yi shu 	民間藝術	c=1 d=0.891367 t=116448
ming 	名	c=14 d=2.04662e-15 t=116448
ming 	命	c=3 d=1.50504e-133 t=116448
ming 	明	c=2 d=3.79228e-123 t=116448
ming 	銘	c=1 d=3.42778e-140 t=116448
ming bai 	明白	c=5 d=0.522045 t=116448
ming bai le 	明白了	c=1 d=6.70255e-89 t=116448
ming cheng 	名稱	c=18 d=2.46091e-07 t=116448
ming ci 	名次	c=1 d=9.07187e-149 t=116448
ming ci 	名詞	c=1 d=1.04351e-148 t=116448
ming dan 	名單	c=1 d=2.66349e-172 t=116448
ming huo 	明火	c=1 d=0.327915 t=116448
ming ling 	命令	c=42 d=3.34151 t=116448
ming ling ba 	命令吧	c=1 d=2.98495e-189 t=116448
ming ling de 	命令的	c=1 d=3.24303e-194 t=116448
ming ling hang 	命令行	c=3 d=1.92669 t=116448
ming ling le 	命令了	c=1 d=1.33781e-159 t=116448
ming ling qu 	命令去	c=1 d=2.77154e-228 t=116448
ming ling zi 	命令字	c=11 d=1.07988e-10 t=116448
ming ling zuo 	命令做	c=1 d=2.91083e-11 t=116448
ming ming 	命名	c=35 d=2.438 t=116448
ming ming 	明明	c=3 d=1.17077e-90 t=116448
ming nian 	明年	c=5 d=3.69322e-47 t=116448
ming pai 	銘牌	c=2 d=3.05967e-139 t=116448
ming que 	明確	c=25 d=0.0874119 t=116448
ming que xia 	明確下	c=1 d=2.91212e-75 t=116448
ming ren 	名人	c=0 d=1.17232e-136 t=116448
ming tian 	明天	c=103 d=7.59106e-07 t=116448
ming tiao 	名條	c=1 d=9.8878e-221 t=116448
ming wan 	明晚	c=1 d=2.26026e-35 t=116448
ming wu 	明烏	c=1 d=9.94207e-109 t=116448
ming xi 	明細	c=2 d=3.35634e-10 t=116448
ming xi biao 	明細表	c=1 d=6.26067e-21 t=116448
ming xia 	名下	c=0 d=1.19049e-111 t=116448
ming xian 	明顯	c=18 d=9.12794e-60 t=116448
ming xiang 	名相	c=5 d=4.43757e-60 t=116448
ming yi 	名義	c=1 d=1.66401e-226 t=116448
ming zhong 	命中	c=22 d=1.29718e-07 t=116448
ming zhu 	名著	c=1 d=1.84854e-81 t=116448
ming zi 	名字	c=14 d=2.82575 t=116448
miu 	謬	c=0 d=1.4277e-131 t=116448
mo 	摸	c=5 d=1.08473e-46 t=116448
mo 	末	c=6 d=2.7182e-29 t=116448
mo 	磨	c=2 d=1.17144e-38 t=116448
mo 	魔	c=1 d=1.82381e-99 t=116448
mo ban 	模板	c=20 d=0.0409341 t=116448
mo fa 	魔法	c=1 d=7.65598e-182 t=116448
mo ge 	谟个	c=1 d=1.22957e-49 t=116448
mo hu 	模糊	c=4 d=3.83381 t=116448
mo huan 	魔幻	c=1 d=5.11767e-208 t=116448
mo kuai 	模塊	c=26 d=0.0699226 t=116448
mo kuai 	磨快	c=0 d=3.42687e-226 t=116448
mo kuai de 	磨快的	c=1 d=3.44404e-225 t=116448
mo kuai ming 	模塊名	c=1 d=2.05688e-14 t=116448
mo lu 	末路	c=1 d=3.28565e-83 t=116448
mo ni 	模擬	c=3 d=4.10938e-156 t=116448
mo ni qi 	模擬器	c=10 d=3.25651e-53 t=116448
mo nian 	默唸	c=1 d=1.99433e-33 t=116448
mo ou mei 	摸歐美	c=1 d=1.09017e-45 t=116448
mo ren 	默認	c=159 d=9.53977 t=116448
mo ren shi 	默認是	c=1 d=1.28125e-239 t=116448
mo ren zhi 	默認值	c=13 d=1.91727 t=116448
mo shi 	模式	c=28 d=0.918512 t=116448
mo shi xia 	模式下	c=6 d=5.73566e-20 t=116448
mo shu 	魔術	c=1 d=3.92656e-150 t=116448
mo suo 	摸索	c=3 d=5.08485e-103 t=116448
mo wei 	末尾	c=1 d=6.22016e-121 t=116448
mo xing 	模型	c=8 d=4.69633e-97 t=116448
mo yu 	摸魚	c=10 d=0.193981 t=116448
mo yu le 	摸魚了	c=1 d=8.30465e-227 t=116448
mo yu shi wu suo 	摸魚事務所	c=1 d=0.99005 t=116448
mo zhang 	魔杖	c=1 d=4.19411e-102 t=116448
mou 	某	c=7 d=1.00884e-30 t=116448
mou bu fen 	某部分	c=1 d=8.32952e-174 t=116448
mou ge 	某個	c=27 d=1.32427e-20 t=116448
mou nian mou yue 	某年某月	c=1 d=0.308819 t=116448
mou shi 	某事	c=1 d=0.313486 t=116448
mou xie 	某些	c=3 d=1.27978e-113 t=116448
mou yi 	某一	c=0 d=6.96926e-195 t=116448
mou yi duan 	某一段	c=3 d=0.57695 t=116448
mou yi ge 	某一個	c=8 d=0.305746 t=116448
mou yi hang 	某一行	c=1 d=4.75755e-85 t=116448
mou yi lie 	某一列	c=3 d=7.29977e-103 t=116448
mou zhong 	某種	c=2 d=8.49049e-17 t=116448
mu 	木	c=1 d=0.67032 t=116448
mu biao 	目標	c=16 d=0.639033 t=116448
mu biao de 	目標的	c=1 d=3.52808e-97 t=116448
mu ce 	目測	c=3 d=0.101267 t=116448
mu di 	目的	c=19 d=0.988944 t=116448
mu lu 	目錄	c=25 d=2.42879 t=116448
mu qi 	母氣	c=1 d=0.00012909 t=116448
mu qian 	目前	c=117 d=0.245007 t=116448
mu qian kan 	目前看	c=1 d=3.22236e-207 t=116448
mu qian lai 	目前來	c=1 d=7.20545e-145 t=116448
mu you 	木有	c=2 d=8.05314e-130 t=116448
na 	哪	c=32 d=7.91514e-15 t=116448
na 	拿	c=13 d=0.621099 t=116448
na 	那	c=183 d=1.38957 t=116448
na bian 	那邊	c=25 d=0.827183 t=116448
na biao 	那表	c=1 d=0.22091 t=116448
na bu 	哪部	c=2 d=1.36976e-172 t=116448
na bu fen 	哪部分	c=2 d=2.38262e-67 t=116448
na cai shi 	那纔是	c=1 d=7.52252e-181 t=116448
na chu lai 	拿出來	c=2 d=4.97408e-226 t=116448
na dao 	拿到	c=5 d=0.0880369 t=116448
na de 	那的	c=1 d=0.292292 t=116448
na dei shi 	那得是	c=1 d=8.03261e-100 t=116448
na duan 	那段	c=1 d=1.49662e-214 t=116448
na fen 	那份	c=1 d=3.54445e-122 t=116448
na gao 	拿高	c=1 d=2.3684e-26 t=116448
na ge 	哪個	c=79 d=0.960789 t=116448
na ge 	那個	c=69 d=1.20353 t=116448
na guo lai 	拿過來	c=1 d=0.532591 t=116448
na hai hao 	那還好	c=1 d=5.65993e-187 t=116448
na hai shi 	那還是	c=1 d=1.38094e-150 t=116448
na hao 	那好	c=0 d=3.37926e-91 t=116448
na hao de 	那好的	c=1 d=3.39621e-90 t=116448
na hui bu hui 	那會不會	c=1 d=3.71185e-18 t=116448
na ji ben 	那基本	c=1 d=4.46986e-204 t=116448
na jiu 	那就	c=33 d=1.27213e-06 t=116448
na jiu de 	那就的	c=1 d=7.24257e-176 t=116448
na jiu hao 	那就好	c=1 d=3.63812e-76 t=116448
na jiu hui 	那就會	c=1 d=1.91003e-113 t=116448
na jiu shi 	那就是	c=10 d=1.50027e-37 t=116448
na jiu xing 	那就行	c=1 d=2.49927e-188 t=116448
na kan lai 	那看來	c=6 d=1.94112e-09 t=116448
na kuai 	哪塊	c=1 d=0.66365 t=116448
na le 	拿了	c=2 d=0.082085 t=116448
na li 	哪裏	c=29 d=2.40824 t=116448
na li 	那裏	c=8 d=0.104874 t=116448
na me 	那麼	c=8 d=0.00532682 t=116448
na me hao 	那麼好	c=1 d=6.2919e-197 t=116448
na ni 	納尼	c=3 d=1.13941e-06 t=116448
na ni 	那你	c=1 d=1.07397e-16 t=116448
na po lun 	拿破侖	c=1 d=1 t=116448
na qi 	納氣	c=0 d=1.77389e-244 t=116448
na qi bu shi 	納氣不是	c=1 d=1.78279e-243 t=116448
na qi shi 	那其實	c=1 d=1.59761e-100 t=116448
na ru 	納入	c=9 d=2.70283e-52 t=116448
na ru guo 	那如果	c=1 d=4.043e-229 t=116448
na shi 	那是	c=1 d=2.77596e-188 t=116448
na tai 	哪臺	c=2 d=2.72841e-131 t=116448
na tai 	那臺	c=1 d=1.12597e-131 t=116448
na tao 	那套	c=3 d=1.4519e-84 t=116448
na tian 	哪天	c=1 d=4.16241e-101 t=116448
na tian 	那天	c=1 d=7.04072e-167 t=116448
na wei 	哪位	c=10 d=3.17662e-39 t=116448
na wei 	那位	c=2 d=4.38402e-174 t=116448
na wo 	拿我	c=6 d=1.20384e-153 t=116448
na wo 	那我	c=30 d=8.81276e-08 t=116448
na wo men 	那我們	c=1 d=3.06726e-68 t=116448
na xia 	拿下	c=2 d=0.0837433 t=116448
na xian zai 	那現在	c=1 d=6.45887e-211 t=116448
na xie 	哪些	c=10 d=0.00554422 t=116448
na xie 	那些	c=2 d=5.81743e-157 t=116448
na yang 	那樣	c=2 d=4.34484e-135 t=116448
na yang zi 	那樣子	c=1 d=0.362403 t=116448
na ye 	那也	c=3 d=5.96344e-37 t=116448
na yi 	那一	c=1 d=0.980199 t=116448
na yi ge 	那一個	c=1 d=2.37574e-33 t=116448
na ying gai 	那應該	c=1 d=1.21809e-115 t=116448
na you 	哪有	c=2 d=2.95287e-116 t=116448
na you 	那有	c=1 d=2.886e-116 t=116448
na zhe 	拿着	c=2 d=4.19424e-73 t=116448
na zhe bian 	那這邊	c=1 d=2.80748e-115 t=116448
na zhe ge 	那這個	c=5 d=1.29618e-53 t=116448
na zhe ge ku 	那這個庫	c=1 d=1.30268e-52 t=116448
na zhe li 	那這裏	c=9 d=4.29969e-71 t=116448
na zhe yang 	那這樣	c=2 d=4.50554e-33 t=116448
na zhong 	那種	c=5 d=3.69198e-129 t=116448
nai 	奶	c=8 d=2.7798e-33 t=116448
nai cha 	奶茶	c=1 d=2.72627e-152 t=116448
nan 	南	c=6 d=5.64277 t=116448
nan 	男	c=2 d=1.76425e-32 t=116448
nan 	難	c=19 d=0.26982 t=116448
nan ao gao zhong 	南澳高中	c=1 d=3.05914e-125 t=116448
nan bao 	難保	c=1 d=2.42835e-26 t=116448
nan chi 	難喫	c=1 d=7.09237e-106 t=116448
nan dao 	難道	c=4 d=1.92208e-40 t=116448
nan de 	男的	c=1 d=4.06465e-233 t=116448
nan ding 	難頂	c=1 d=1.15098e-66 t=116448
nan gao 	難搞	c=2 d=2.1995e-38 t=116448
nan jing 	南京	c=1 d=0.96079 t=116448
nan ke 	南柯	c=1 d=0.882497 t=116448
nan mian 	難免	c=1 d=0.0156858 t=116448
nan nan nv nv 	男男女女	c=0 d=0.0965606 t=116448
nan ren 	男人	c=1 d=0.70822 t=116448
nan shan 	南山	c=3 d=0.951229 t=116448
nan sheng 	男生	c=1 d=1.9243e-83 t=116448
nan shou 	難受	c=2 d=6.02997e-138 t=116448
nan shua 	難刷	c=1 d=2.14244e-111 t=116448
nan shuo 	難說	c=1 d=0.198891 t=116448
nan ti 	難題	c=1 d=1.03524e-25 t=116448
nan zhuang 	男裝	c=1 d=0.965606 t=116448
nang zhong 	囊腫	c=1 d=3.07448e-125 t=116448
nao 	腦	c=1 d=4.99249e-152 t=116448
nao bu 	脑补	c=1 d=2.64848e-135 t=116448
nao dai 	腦袋	c=1 d=6.23142e-201 t=116448
nao hai 	腦海	c=0 d=7.26373e-35 t=116448
nao zhe wan 	鬧着玩	c=1 d=3.15255e-214 t=116448
nao zi 	腦子	c=4 d=0.302704 t=116448
ne 	呢	c=76 d=3.11695 t=116448
ne ge 	呢個	c=0 d=8.18396e-232 t=116448
ne zha 	哪吒	c=1 d=5.09215e-208 t=116448
nei 	內	c=41 d=0.301194 t=116448
nei bu 	內部	c=28 d=0.733447 t=116448
nei ceng 	內層	c=1 d=1.39273e-103 t=116448
nei cong 	內從	c=1 d=1.67268e-52 t=116448
nei cun 	內存	c=32 d=2.17843e-13 t=116448
nei cun tiao 	內存條	c=3 d=0.909819 t=116448
nei fou 	內否	c=1 d=7.19122e-63 t=116448
nei gui 	內鬼	c=0 d=6.50784e-242 t=116448
nei hao 	內耗	c=1 d=4.05579e-178 t=116448
nei he 	內核	c=4 d=2.86399 t=116448
nei rong 	內容	c=142 d=4.13927 t=116448
nei shen 	內審	c=1 d=2.79614e-185 t=116448
nei wang 	內網	c=3 d=3.29506e-146 t=116448
nei yu 	内娱	c=1 d=5.65182e-82 t=116448
nei zang 	內臟	c=1 d=1.32336e-149 t=116448
nen 	嫩	c=1 d=4.48355e-93 t=116448
neng 	能	c=38 d=0.974596 t=116448
neng ba 	能把	c=1 d=7.39313e-124 t=116448
neng bu 	能不	c=2 d=1.82584e-25 t=116448
neng bu ne gei 	能不呢給	c=1 d=1.835e-24 t=116448
neng bu neng 	能不能	c=46 d=0.00235819 t=116448
neng bu neng ne ge 	能不能呢個	c=4 d=4.56741e-17 t=116448
neng chu 	能出	c=1 d=1.32868e-108 t=116448
neng dao 	能到	c=1 d=2.19392e-155 t=116448
neng fou 	能否	c=5 d=1.62639e-16 t=116448
neng gou 	能夠	c=5 d=0.358796 t=116448
neng jie jue 	能解決	c=1 d=8.07012e-96 t=116448
neng kuai dian you 	能快點有	c=1 d=0.644036 t=116448
neng li 	能力	c=154 d=0.855615 t=116448
neng li de 	能力的	c=1 d=3.51202e-14 t=116448
neng li o 	能力哦	c=1 d=2.86106e-14 t=116448
neng zhao dao 	能找到	c=1 d=1.51295e-224 t=116448
ni 	你	c=317 d=1.09029 t=116448
ni 	倪	c=1 d=0.970446 t=116448
ni 	呢	c=1 d=5.24204e-167 t=116448
ni 	逆	c=1 d=2.23201e-181 t=116448
ni ba 	你把	c=3 d=7.48645e-07 t=116448
ni bang mang 	你幫忙	c=1 d=2.49273e-216 t=116448
ni bu neng 	你不能	c=1 d=6.25839e-193 t=116448
ni bu shi 	你不是	c=13 d=7.20853e-07 t=116448
ni bu shu 	你部署	c=3 d=6.76886e-30 t=116448
ni bu shuo 	你不說	c=1 d=7.30417e-158 t=116448
ni bu zhou 	你步驟	c=1 d=3.73288e-55 t=116448
ni cheng 	昵稱	c=39 d=1.69242e-43 t=116448
ni chong xin 	你重新	c=3 d=2.94108e-15 t=116448
ni da kai 	你打開	c=2 d=2.83645e-30 t=116448
ni de 	你的	c=37 d=0.99006 t=116448
ni de 	逆的	c=1 d=6.98469e-220 t=116448
ni de yi si 	你的意思	c=1 d=1.82977e-108 t=116448
ni deng 	你等	c=1 d=1.49941e-89 t=116448
ni deng yi xia 	你等一下	c=1 d=3.10254e-173 t=116448
ni fa 	你發	c=2 d=1.1738e-42 t=116448
ni fang xin 	你方新	c=1 d=9.24352e-193 t=116448
ni fen zhi 	你分支	c=1 d=1.93961e-88 t=116448
ni fu gai 	你覆蓋	c=1 d=6.41615e-133 t=116448
ni fu wu 	你服務	c=1 d=9.21644e-41 t=116448
ni fu wu qi 	你服務器	c=1 d=1.02281e-30 t=116448
ni fu ze 	你負責	c=1 d=2.0608e-07 t=116448
ni gang 	你剛	c=1 d=1.58205e-220 t=116448
ni gang cai 	你剛纔	c=1 d=3.83639e-112 t=116448
ni ge 	你個	c=1 d=3.71086e-103 t=116448
ni gei 	你給	c=1 d=1.50534e-107 t=116448
ni gei de 	你給的	c=1 d=1.51289e-106 t=116448
ni gei ge 	你給個	c=1 d=1.81756e-235 t=116448
ni guo 	尼國	c=1 d=5.64725e-190 t=116448
ni hai 	你還	c=0 d=1.54025e-112 t=116448
ni hai ji de 	你還記得	c=1 d=1.54797e-111 t=116448
ni hai mei 	你還沒	c=2 d=4.24247e-178 t=116448
ni hai shi 	你還是	c=1 d=1.98506e-37 t=116448
ni hai yao 	你還要	c=1 d=1.25096e-46 t=116448
ni hai you 	你還有	c=1 d=3.1411e-230 t=116448
ni hao 	你好	c=33 d=2.91103e-35 t=116448
ni he 	你和	c=4 d=6.03178e-24 t=116448
ni hu lve 	你忽略	c=1 d=5.07912e-31 t=116448
ni hui 	你會	c=1 d=6.68227e-23 t=116448
ni hui gui 	你回歸	c=1 d=7.51845e-204 t=116448
ni jin wan 	你今晚	c=1 d=2.84197e-141 t=116448
ni jiu 	你就	c=2 d=2.07389e-52 t=116448
ni jiu dei 	你就得	c=1 d=6.47512e-123 t=116448
ni jiu ke yi 	你就可以	c=1 d=7.44743e-210 t=116448
ni jiu shi 	你就是	c=1 d=8.56388e-30 t=116448
ni jiu shuo 	你就說	c=1 d=1.40951e-185 t=116448
ni ju ran 	你居然	c=1 d=1.21405e-164 t=116448
ni kai qi 	你開啓	c=1 d=4.63111e-121 t=116448
ni kan 	你看	c=10 d=1.62954e-09 t=116448
ni kan bie ren 	你看別人	c=1 d=1.9131e-220 t=116448
ni kan kan 	你看看	c=2 d=2.34518e-204 t=116448
ni kan xia 	你看下	c=9 d=4.31696e-30 t=116448
ni kan yi xia 	你看一下	c=4 d=3.07353e-92 t=116448
ni kang 	尼康	c=1 d=5.33902e-118 t=116448
ni ke yi 	你可以	c=37 d=1.7658e-13 t=116448
ni kuan du 	你寬度	c=1 d=3.76631e-101 t=116448
ni lao ba 	你老爸	c=2 d=1.34787e-166 t=116448
ni le 	你了	c=3 d=1.89759e-95 t=116448
ni li 	擬鯉	c=1 d=6.11486e-126 t=116448
ni mei 	你沒	c=3 d=1.0015e-47 t=116448
ni mei you 	你沒有	c=1 d=1.48425e-234 t=116448
ni men 	你們	c=103 d=9.54341e-10 t=116448
ni men xian zai 	你們現在	c=1 d=1.41109e-110 t=116448
ni ming 	匿名	c=2 d=1.54481e-50 t=116448
ni ming tian 	你明天	c=2 d=2.41747e-32 t=116448
ni ming zi 	你名字	c=1 d=1.22366e-198 t=116448
ni na 	你那	c=1 d=4.80163e-164 t=116448
ni na bian 	你那邊	c=3 d=9.05307e-154 t=116448
ni na ge 	你那個	c=7 d=1.69041e-29 t=116448
ni neng 	你能	c=1 d=6.90175e-109 t=116448
ni pu sa 	泥菩薩	c=1 d=2.3922e-26 t=116448
ni qu 	你去	c=3 d=6.5195e-27 t=116448
ni qu ri di nian 	你取日地念	c=1 d=4.93844e-171 t=116448
ni que ding 	你確定	c=2 d=1.55193e-141 t=116448
ni rang 	你讓	c=1 d=2.87023e-81 t=116448
ni ri shen 	你日神	c=1 d=3.12128e-185 t=116448
ni shang 	逆殤	c=1 d=2.41593e-142 t=116448
ni shang mian 	你上面	c=1 d=3.49773e-113 t=116448
ni she zhi 	你設置	c=1 d=4.60958e-125 t=116448
ni shen qin 	你神親	c=1 d=2.50139e-198 t=116448
ni shen qing 	你申請	c=1 d=1.28146e-241 t=116448
ni shi 	你是	c=24 d=0.273898 t=116448
ni shi bu shi 	你是不是	c=5 d=1.03718e-47 t=116448
ni shi jian 	你時間	c=2 d=2.56164e-37 t=116448
ni shi yi xia 	你試一下	c=3 d=1.01056e-06 t=116448
ni shi yong 	你使用	c=1 d=8.67683e-184 t=116448
ni shua xin 	你刷新	c=2 d=2.11254e-34 t=116448
ni shui han 	逆水寒	c=1 d=1.29363e-117 t=116448
ni shuo 	你說	c=4 d=3.18431e-38 t=116448
ni shuo de 	你說的	c=9 d=3.34073e-14 t=116448
ni shuo hua 	你說話	c=1 d=2.71978e-124 t=116448
ni shuo ming xia 	你說明下	c=1 d=1.02937e-17 t=116448
ni sou suo 	你搜索	c=2 d=1.44356e-113 t=116448
ni sui ji 	你隨機	c=1 d=2.09622e-31 t=116448
ni ting 	你聽	c=0 d=7.39636e-42 t=116448
ni ting bu 	你聽不	c=1 d=7.43344e-41 t=116448
ni ting ting 	你聽聽	c=1 d=1.3204e-152 t=116448
ni wen 	你問	c=2 d=2.4891e-131 t=116448
ni xia fa 	你下發	c=3 d=1.31663e-89 t=116448
ni xia zai 	你下載	c=1 d=1.35857e-105 t=116448
ni xian 	你先	c=2 d=6.02338e-38 t=116448
ni xian kan kan 	你先看看	c=1 d=6.05357e-37 t=116448
ni xian zai 	你現在	c=9 d=2.34193e-31 t=116448
ni xian zhi 	你限制	c=1 d=2.35507e-136 t=116448
ni xiang 	你想	c=1 d=7.90975e-07 t=116448
ni xiao zi 	你小子	c=4 d=1.92865e-117 t=116448
ni xue xie 	你血洩	c=1 d=8.12334e-232 t=116448
ni yan ge 	你嚴格	c=1 d=1.11845e-111 t=116448
ni yao 	你要	c=10 d=1.18745e-80 t=116448
ni yao bu 	你要不	c=1 d=1.10177e-140 t=116448
ni yao shi 	你要是	c=2 d=7.98846e-94 t=116448
ni ye 	你也	c=5 d=9.81161e-34 t=116448
ni ye ke yi 	你也可以	c=8 d=2.58739e-37 t=116448
ni ye shi 	你也是	c=2 d=2.25089e-45 t=116448
ni ye yao 	你也要	c=1 d=8.19488e-100 t=116448
ni yi 	你一	c=0 d=5.90956e-137 t=116448
ni yi a 	你一啊	c=1 d=5.93919e-136 t=116448
ni yi jing 	你已經	c=4 d=1.17364e-60 t=116448
ni yi shuo 	你一說	c=1 d=1.37447e-183 t=116448
ni yi wei 	你以爲	c=1 d=3.13682e-214 t=116448
ni ying gai 	你應該	c=1 d=1.51403e-203 t=116448
ni yong 	你用	c=2 d=7.48955e-100 t=116448
ni yong de 	你用的	c=2 d=9.84406e-22 t=116448
ni you 	你有	c=9 d=3.46551e-63 t=116448
ni you yi ge 	你有一個	c=1 d=1.33457e-160 t=116448
ni zai 	你再	c=1 d=4.02375e-26 t=116448
ni zai 	你在	c=14 d=1.02072e-06 t=116448
ni zen me 	你怎麼	c=4 d=6.20576e-35 t=116448
ni zhang hao 	你賬號	c=2 d=5.50085e-87 t=116448
ni zhao 	你找	c=5 d=3.00694e-99 t=116448
ni zhe 	逆着	c=1 d=6.6048e-121 t=116448
ni zhe bian 	你這邊	c=32 d=4.59749e-06 t=116448
ni zhe ge 	你這個	c=15 d=1.93079e-05 t=116448
ni zhe li 	你這裏	c=13 d=8.34385e-10 t=116448
ni zhe me kuai 	你這麼快	c=2 d=1.19028e-108 t=116448
ni zhe shi 	你這是	c=1 d=8.64119e-165 t=116448
ni zhi dao 	你知道	c=4 d=4.13629e-27 t=116448
ni zhi de 	你指的	c=2 d=3.24114e-99 t=116448
ni zhi jian 	你之間	c=1 d=3.06958e-165 t=116448
ni zhi jie 	你直接	c=8 d=6.91322e-11 t=116448
ni zhi neng 	你只能	c=1 d=3.67355e-43 t=116448
ni zhi qian 	你之前	c=4 d=2.37089e-09 t=116448
ni zhuan 	逆轉	c=1 d=2.95384e-154 t=116448
ni zhun bei 	你準備	c=1 d=3.22487e-128 t=116448
ni zi ji 	你自己	c=2 d=1.26943e-42 t=116448
ni zui kai shi 	你最開始	c=1 d=3.53289e-113 t=116448
ni zuo wan 	你昨晚	c=1 d=1.64609e-40 t=116448
nian 	年	c=33 d=0.0620385 t=116448
nian chu 	年初	c=1 d=4.09726e-180 t=116448
nian de 	年的	c=2 d=4.95697e-215 t=116448
nian di 	年底	c=2 d=5.45018e-37 t=116448
nian duo le 	年多了	c=1 d=2.23262e-243 t=116448
nian fen 	年份	c=1 d=4.04614e-150 t=116448
nian hou 	年後	c=13 d=9.01705e-19 t=116448
nian hui 	年會	c=10 d=3.8444e-47 t=116448
nian ji 	年紀	c=1 d=3.34724e-125 t=116448
nian ji 	年饥	c=1 d=3.31394e-125 t=116448
nian li 	年例	c=4 d=4.2608e-23 t=116448
nian ling 	年齡	c=1 d=1.08348e-149 t=116448
nian mo 	年末	c=7 d=0.0773048 t=116448
nian nian 	年年	c=2 d=0.995012 t=116448
nian qian 	年前	c=8 d=6.86916e-24 t=116448
nian qing 	年輕	c=1 d=0.193012 t=116448
nian qing 	年青	c=1 d=0.19205 t=116448
nian qing ren 	年輕人	c=1 d=1.91277e-218 t=116448
nian xin 	年薪	c=1 d=5.7894e-159 t=116448
nian ye fan 	年夜飯	c=1 d=3.32114e-33 t=116448
nian yu 	鮎魚	c=1 d=2.99767e-239 t=116448
nian zhong 	年中	c=1 d=1.85981e-35 t=116448
nian zhong 	年終	c=7 d=0.19398 t=116448
niao 	尿	c=1 d=5.19728e-125 t=116448
niao suan 	尿酸	c=1 d=0.985112 t=116448
nie 	捏	c=1 d=2.09845e-161 t=116448
nie yi xia 	捏一下	c=1 d=2.97603e-242 t=116448
nin 	您	c=2 d=7.23873e-146 t=116448
ning meng 	檸檬	c=1 d=9.63839e-97 t=116448
niu 	扭	c=1 d=3.32863e-177 t=116448
niu 	牛	c=8 d=0.12938 t=116448
niu jian 	牛腱	c=1 d=0.130029 t=116448
niu rou 	牛肉	c=1 d=1 t=116448
niu zai 	牛仔	c=1 d=2.60969e-226 t=116448
