# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	325666
#@/user_id	data
a 	啊	c=448 d=2.53214 t=325666
na kan 	哪堪	c=2 d=7.72948e-118 t=325666
na kan lai 	那看來	c=20 d=3.0585e-05 t=325666
na ke yi 	那可以	c=1 d=7.01009e-57 t=325666
na kuai 	哪塊	c=1 d=0.66365 t=325666
na kuai 	那塊	c=4 d=1.13146e-100 t=325666
na kuan 	那款	c=1 d=3.33657e-205 t=325666
na lai 	哪來	c=1 d=8.72125e-244 t=325666
na lai 	拿來	c=2 d=1.0306e-31 t=325666
na le 	拿了	c=2 d=0.082085 t=325666
na li 	哪裏	c=64 d=2.40824 t=325666
na li 	那裏	c=52 d=0.104874 t=325666
na li lun shang 	那理論上	c=1 d=3.11266e-35 t=325666
na liang tiao 	那兩條	c=1 d=9.82004e-52 t=325666
na me 	那麼	c=37 d=0.00532682 t=325666
na me duo 	那麼多	c=2 d=3.25849e-103 t=325666
na me hao 	那麼好	c=1 d=6.2919e-197 t=325666
na me shao 	那麼少	c=1 d=3.29124e-103 t=325666
na ni 	納尼	c=6 d=1.13941e-06 t=325666
na ni 	那你	c=25 d=0.0316873 t=325666
na ni men 	那你們	c=2 d=1.22232e-97 t=325666
na ni zhe bian 	那你這邊	c=1 d=2.50273e-28 t=325666
na ni zhe ge 	那你這個	c=2 d=0.0939493 t=325666
na po lun 	拿破侖	c=1 d=1 t=325666
na qi 	納氣	c=0 d=1.77389e-244 t=325666
na qi bu shi 	納氣不是	c=1 d=1.78279e-243 t=325666
na qi shi 	那其實	c=7 d=1.19657e-23 t=325666
na qu 	拿去	c=1 d=1.29446e-07 t=325666
na ru 	納入	c=10 d=2.70283e-52 t=325666
na ru guo 	那如果	c=4 d=4.23076e-28 t=325666
na sheng xia 	那剩下	c=1 d=7.12717e-46 t=325666
na shi 	那是	c=1 d=2.77596e-188 t=325666
na shu ju 	那數據	c=1 d=1.10785e-146 t=325666
na tai 	哪臺	c=2 d=2.72841e-131 t=325666
na tai 	那臺	c=3 d=1.5201e-15 t=325666
na tao 	那套	c=11 d=0.0599047 t=325666
na tian 	哪天	c=1 d=2.73182e-30 t=325666
na tian 	那天	c=4 d=2.01061e-11 t=325666
na tiao 	哪條	c=2 d=3.19299e-70 t=325666
na tiao 	那條	c=4 d=1.88375e-09 t=325666
na tie 	拿鐵	c=1 d=6.78397e-83 t=325666
na wei 	哪位	c=16 d=2.17955e-19 t=325666
na wei 	那位	c=2 d=4.38402e-174 t=325666
na wo 	拿我	c=7 d=8.15652e-133 t=325666
na wo 	那我	c=118 d=0.0463065 t=325666
na wo men 	那我們	c=3 d=3.06726e-68 t=325666
na wo zhe bian 	那我這邊	c=2 d=1.09478e-124 t=325666
na wo zhe li 	那我這裏	c=1 d=1.36975e-25 t=325666
na xia 	拿下	c=3 d=0.0837433 t=325666
na xian zai 	那現在	c=1 d=6.45887e-211 t=325666
na xie 	哪些	c=23 d=0.00822991 t=325666
na xie 	那些	c=7 d=1.31743e-08 t=325666
na xing 	那行	c=2 d=6.266e-31 t=325666
na yang 	那樣	c=6 d=3.3396e-10 t=325666
na yang zi 	那樣子	c=1 d=0.362403 t=325666
na ye 	那也	c=3 d=5.96344e-37 t=325666
na ye jiu shi 	那也就是	c=1 d=1.02874e-98 t=325666
na ye xing 	那也行	c=2 d=1.21086e-08 t=325666
na yi 	那一	c=2 d=0.980199 t=325666
na yi ge 	那一個	c=1 d=2.37574e-33 t=325666
na yi ke 	那一刻	c=1 d=5.76875e-117 t=325666
na yi tao 	那一套	c=2 d=2.867e-09 t=325666
na ying gai 	那應該	c=3 d=3.87004e-09 t=325666
na you 	哪有	c=5 d=4.95316e-29 t=325666
na you 	那有	c=1 d=2.886e-116 t=325666
na zha 	哪吒	c=1 d=1.13888e-265 t=325666
na zhe 	拿着	c=3 d=2.77311e-29 t=325666
na zhe 	那這	c=3 d=3.06642e-06 t=325666
na zhe bian 	那這邊	c=1 d=2.80748e-115 t=325666
na zhe ge 	那這個	c=17 d=2.50665e-17 t=325666
na zhe ge ku 	那這個庫	c=1 d=1.30268e-52 t=325666
na zhe li 	那這裏	c=22 d=8.98918e-12 t=325666
na zhe yang 	那這樣	c=4 d=6.74139e-09 t=325666
na zhi neng 	那只能	c=2 d=5.51938e-09 t=325666
na zhong 	哪種	c=6 d=1.68516e-45 t=325666
na zhong 	那種	c=27 d=2.43132e-11 t=325666
na zui xin 	那最新	c=1 d=3.49391e-12 t=325666
nai 	奶	c=8 d=2.7798e-33 t=325666
nai cha 	奶茶	c=5 d=1.68724e-07 t=325666
nai cha dian 	奶茶店	c=1 d=1.25655e-69 t=325666
nan 	南	c=6 d=5.64277 t=325666
nan 	楠	c=17 d=0.32696 t=325666
nan 	男	c=5 d=3.35281e-27 t=325666
nan 	難	c=51 d=0.305746 t=325666
nan ao gao zhong 	南澳高中	c=1 d=3.05914e-125 t=325666
nan bao 	難保	c=1 d=2.42835e-26 t=325666
nan chi 	難喫	c=1 d=7.09237e-106 t=325666
nan dao 	難道	c=13 d=2.84186e-23 t=325666
nan dao shi 	難道是	c=5 d=1.31443e-40 t=325666
nan de 	男的	c=1 d=4.06465e-233 t=325666
nan ding 	難頂	c=8 d=8.12656e-31 t=325666
nan du 	南都	c=3 d=9.3062e-08 t=325666
nan du 	難度	c=3 d=8.07365e-13 t=325666
nan gao 	難搞	c=7 d=2.09046e-28 t=325666
nan hu 	南湖	c=0 d=1.71001e-48 t=325666
nan jing 	南京	c=1 d=0.96079 t=325666
nan ke 	南柯	c=1 d=0.882497 t=325666
nan le 	難了	c=1 d=3.46625e-183 t=325666
nan mian 	難免	c=1 d=0.0156858 t=325666
nan nan nv nv 	男男女女	c=0 d=0.0965606 t=325666
nan peng you 	男朋友	c=1 d=2.89424e-32 t=325666
nan ren 	男人	c=1 d=0.70822 t=325666
nan shan 	南山	c=7 d=0.951229 t=325666
nan shan qu 	南山區	c=1 d=1.69507e-32 t=325666
nan sheng 	男生	c=2 d=1.9243e-83 t=325666
nan shou 	難受	c=6 d=5.90411e-37 t=325666
nan shua 	難刷	c=1 d=2.14244e-111 t=325666
nan shuo 	難說	c=2 d=0.198891 t=325666
nan ti 	難題	c=1 d=1.03524e-25 t=325666
nan tou 	南頭	c=2 d=1.11453e-11 t=325666
nan yi 	難以	c=3 d=7.43573e-74 t=325666
nan yong 	難用	c=1 d=5.68439e-32 t=325666
nan zhuang 	男裝	c=1 d=0.965606 t=325666
nang zhong 	囊腫	c=3 d=1.44348e-09 t=325666
nao 	腦	c=3 d=4.99249e-152 t=325666
nao bu 	脑补	c=1 d=2.64848e-135 t=325666
nao dai 	腦袋	c=1 d=6.23142e-201 t=325666
nao hai 	腦海	c=0 d=7.26373e-35 t=325666
nao li 	腦力	c=1 d=6.44543e-69 t=325666
nao zhe wan 	鬧着玩	c=1 d=3.15255e-214 t=325666
nao zi 	腦子	c=9 d=0.302704 t=325666
ne 	呢	c=242 d=3.11695 t=325666
ne ge 	呢個	c=0 d=3.94474e-29 t=325666
ne zha 	哪吒	c=1 d=5.09215e-208 t=325666
nei 	內	c=121 d=0.88307 t=325666
nei 	那	c=1 d=3.50721e-42 t=325666
nei bu 	內部	c=140 d=0.733447 t=325666
nei ceng 	內層	c=1 d=1.39273e-103 t=325666
nei cong 	內從	c=1 d=1.67268e-52 t=325666
nei cun 	內存	c=66 d=2.17843e-13 t=325666
nei cun tiao 	內存條	c=3 d=0.909819 t=325666
nei cun zhong 	內存中	c=2 d=4.45296e-33 t=325666
nei de 	內的	c=1 d=9.98745e-45 t=325666
nei fou 	內否	c=1 d=7.19122e-63 t=325666
nei gui 	內鬼	c=0 d=6.50784e-242 t=325666
nei hao 	內耗	c=3 d=0.000275553 t=325666
nei he 	內核	c=6 d=2.86399 t=325666
nei liu 	內流	c=1 d=2.78058e-90 t=325666
nei qian 	內嵌	c=8 d=0.000129737 t=325666
nei ri qi na 	內日期那	c=1 d=1.41661e-09 t=325666
nei rong 	內容	c=475 d=10.6398 t=325666
nei rong ge 	內容哥	c=1 d=0.264477 t=325666
nei rong le 	內容了	c=1 d=2.30689e-275 t=325666
nei shen 	內審	c=10 d=1.48533e-05 t=325666
nei wai 	內外	c=2 d=1.14415e-47 t=325666
nei wang 	內網	c=8 d=3.29506e-146 t=325666
nei you 	内游	c=1 d=1.20212e-48 t=325666
nei yu 	内娱	c=1 d=5.65182e-82 t=325666
nei zang 	內臟	c=1 d=1.32336e-149 t=325666
nei zhi 	內支	c=1 d=3.22727e-78 t=325666
nei zhi 	內置	c=8 d=4.92691e-10 t=325666
nen 	嫩	c=2 d=4.48355e-93 t=325666
neng 	能	c=152 d=0.974596 t=325666
neng ba 	能把	c=1 d=7.39313e-124 t=325666
neng bei 	能被	c=1 d=4.27578e-123 t=325666
neng bu 	能不	c=6 d=1.82584e-25 t=325666
neng bu ne gei 	能不呢給	c=1 d=1.835e-24 t=325666
neng bu nen 	能不嫩	c=1 d=2.08726e-10 t=325666
neng bu neng 	能不能	c=140 d=0.00423234 t=325666
neng bu neng ne ge 	能不能呢個	c=18 d=4.58718e-09 t=325666
neng chu 	能出	c=2 d=1.32868e-108 t=325666
neng dai 	能帶	c=0 d=7.18901e-31 t=325666
neng dai lai 	能帶來	c=1 d=7.22504e-30 t=325666
neng dao 	能到	c=1 d=2.19392e-155 t=325666
neng de 	能的	c=1 d=8.1826e-53 t=325666
neng ding wei 	能定位	c=1 d=6.59736e-49 t=325666
neng fou 	能否	c=17 d=0.915202 t=325666
neng gai 	能改	c=2 d=5.55558e-165 t=325666
neng gou 	能夠	c=28 d=0.358796 t=325666
neng gou fou 	能夠否	c=1 d=0.00285124 t=325666
neng guo 	能過	c=1 d=4.68816e-118 t=325666
neng hao 	能耗	c=1 d=1.32832e-46 t=325666
neng jie 	能解	c=1 d=4.87819e-203 t=325666
neng jie jue 	能解決	c=1 d=8.07012e-96 t=325666
neng kan dao 	能看到	c=1 d=2.09195e-07 t=325666
neng kuai dian you 	能快點有	c=1 d=0.644036 t=325666
neng li 	能力	c=444 d=1.01605 t=325666
neng li de 	能力的	c=1 d=3.51202e-14 t=325666
neng li o 	能力哦	c=2 d=0.494109 t=325666
neng li zhong 	能力中	c=1 d=2.84903e-82 t=325666
neng na 	能拿	c=1 d=5.33923e-236 t=325666
neng ne ge 	能呢哥	c=1 d=3.45273e-284 t=325666
neng pao 	能跑	c=1 d=6.83286e-138 t=325666
neng pao qi lai 	能跑起來	c=1 d=2.41035e-203 t=325666
neng shi 	能事	c=1 d=2.58257e-162 t=325666
neng shua 	能刷	c=1 d=1.19585e-251 t=325666
neng tiao 	能跳	c=1 d=3.25627e-95 t=325666
neng yong 	能用	c=2 d=1.62528e-08 t=325666
neng zai 	能在	c=1 d=2.76344e-223 t=325666
neng zeng liang 	能增量	c=1 d=2.62587e-93 t=325666
neng zhao dao 	能找到	c=1 d=1.51295e-224 t=325666
neng zhi dao 	能知道	c=1 d=2.00761e-111 t=325666
neng zhi jie 	能直接	c=1 d=2.25137e-165 t=325666
ni 	你	c=810 d=1.09029 t=325666
ni 	倪	c=1 d=0.970446 t=325666
ni 	呢	c=2 d=0.00433948 t=325666
ni 	逆	c=1 d=2.23201e-181 t=325666
ni ba 	你把	c=9 d=7.48645e-07 t=325666
ni bang mang 	你幫忙	c=2 d=3.92681e-92 t=325666
ni bi jiao wan 	你比較玩	c=1 d=9.86454e-17 t=325666
ni bi wo 	你比我	c=1 d=3.6732e-130 t=325666
ni bu 	你不	c=3 d=2.99937e-40 t=325666
ni bu jue de 	你不覺得	c=1 d=1.30735e-94 t=325666
ni bu neng 	你不能	c=1 d=6.25839e-193 t=325666
ni bu ru 	你不如	c=1 d=4.90661e-95 t=325666
ni bu shi 	你不是	c=18 d=0.060205 t=325666
ni bu shu 	你部署	c=3 d=6.76886e-30 t=325666
ni bu shuo 	你不說	c=1 d=7.30417e-158 t=325666
ni bu xing 	你不行	c=1 d=3.02407e-107 t=325666
ni bu zai 	你不在	c=2 d=9.666e-160 t=325666
ni bu zhou 	你步驟	c=1 d=3.73288e-55 t=325666
ni cai zhi dao 	你才知道	c=1 d=9.97055e-172 t=325666
ni ce shi 	你測試	c=1 d=3.63517e-184 t=325666
ni cheng 	昵稱	c=96 d=0.130641 t=325666
ni cheng jie duan 	昵稱截斷	c=2 d=4.39581e-176 t=325666
ni chong xin 	你重新	c=4 d=2.94108e-15 t=325666
ni da 	你打	c=1 d=1.55616e-173 t=325666
ni da gai 	你大概	c=1 d=6.63989e-07 t=325666
ni da kai 	你打開	c=3 d=2.83645e-30 t=325666
ni dai hui 	你待會	c=3 d=6.92955e-215 t=325666
ni dao di 	你到底	c=1 d=0.0555762 t=325666
ni dao shi 	你倒是	c=1 d=2.06306e-108 t=325666
ni de 	你的	c=120 d=0.99006 t=325666
ni de 	逆的	c=1 d=6.98469e-220 t=325666
ni de yi si 	你的意思	c=2 d=9.58542e-91 t=325666
ni de zhang hao 	你的賬號	c=1 d=3.35691e-12 t=325666
ni dei 	你得	c=4 d=1.83488e-82 t=325666
ni deng 	你等	c=2 d=1.59663e-34 t=325666
ni deng yi xia 	你等一下	c=1 d=3.10254e-173 t=325666
ni dian ji 	你點擊	c=1 d=1.28632e-256 t=325666
ni dou ke yi 	你都可以	c=2 d=5.16483e-22 t=325666
ni fa 	你發	c=2 d=1.1738e-42 t=325666
ni fa de 	你發的	c=1 d=2.06214e-44 t=325666
ni fa dian 	你法典	c=1 d=1.20383e-06 t=325666
ni fan hui 	你返回	c=1 d=0.00927901 t=325666
ni fang bian 	你方便	c=1 d=1.47002e-62 t=325666
ni fang xin 	你方新	c=1 d=9.24352e-193 t=325666
ni fen xiang 	你分享	c=1 d=0.00127476 t=325666
ni fen zhi 	你分支	c=1 d=1.93961e-88 t=325666
ni fu gai 	你覆蓋	c=1 d=6.41615e-133 t=325666
ni fu wu 	你服務	c=1 d=9.21644e-41 t=325666
ni fu wu qi 	你服務器	c=1 d=1.02281e-30 t=325666
ni fu ze 	你負責	c=3 d=2.0608e-07 t=325666
ni gai dong 	你改動	c=1 d=8.56853e-07 t=325666
ni gan 	你敢	c=1 d=4.00929e-160 t=325666
ni gan bu gan xing 	你敢不敢行	c=1 d=1.1782e-135 t=325666
ni gan dao 	你感到	c=1 d=3.92974e-42 t=325666
ni gan jue 	你感覺	c=1 d=9.43928e-263 t=325666
ni gang 	你剛	c=1 d=3.52283e-198 t=325666
ni gang cai 	你剛纔	c=1 d=3.83639e-112 t=325666
ni gang shuo wan 	你剛說完	c=1 d=3.54048e-197 t=325666
ni ge 	你個	c=2 d=9.053e-07 t=325666
ni gei 	你給	c=3 d=9.84346e-80 t=325666
ni gei de 	你給的	c=1 d=1.51289e-106 t=325666
ni gei ge 	你給個	c=1 d=1.81756e-235 t=325666
ni gei wo 	你給我	c=1 d=5.30821e-50 t=325666
ni geng xin 	你更新	c=2 d=8.95196e-22 t=325666
ni guo 	尼國	c=2 d=1.18426e-19 t=325666
ni guo lai 	你過來	c=4 d=0.0773047 t=325666
ni ha 	你哈	c=1 d=3.53263e-24 t=325666
ni hai 	你還	c=0 d=7.0189e-14 t=325666
ni hai bu neng 	你還不能	c=1 d=7.05408e-13 t=325666
ni hai ji de 	你還記得	c=2 d=6.32682e-27 t=325666
ni hai mei 	你還沒	c=2 d=4.24247e-178 t=325666
ni hai mei you 	你還沒有	c=1 d=9.16238e-60 t=325666
ni hai neng 	你還能	c=1 d=1.1396e-08 t=325666
ni hai pai 	你還拍	c=1 d=1.28902e-75 t=325666
ni hai shi 	你還是	c=2 d=1.98506e-37 t=325666
ni hai shuo 	你還說	c=1 d=5.59404e-20 t=325666
ni hai yao 	你還要	c=1 d=1.25096e-46 t=325666
ni hai you 	你還有	c=3 d=2.34603e-32 t=325666
ni hai zai 	你還在	c=4 d=1.1814e-163 t=325666
ni hao 	你好	c=41 d=2.91103e-35 t=325666
ni he 	你和	c=7 d=6.03178e-24 t=325666
ni hou mian 	你後面	c=1 d=0.000281606 t=325666
ni hu lve 	你忽略	c=1 d=5.07912e-31 t=325666
ni huan ge 	你換個	c=1 d=1.53205e-107 t=325666
ni hui 	你會	c=1 d=6.68227e-23 t=325666
ni hui gui 	你回歸	c=1 d=7.51845e-204 t=325666
ni hui you 	你會有	c=1 d=8.9487e-194 t=325666
ni ji xu 	你繼續	c=2 d=1.54754e-49 t=325666
ni ji zhe 	你急着	c=1 d=5.64317e-64 t=325666
ni jia you 	你加油	c=2 d=3.1493e-55 t=325666
ni jie tu 	你截圖	c=2 d=5.5777e-15 t=325666
ni jin ru 	你進入	c=1 d=6.1495e-163 t=325666
ni jin tian 	你今天	c=2 d=0.044601 t=325666
ni jin wan 	你今晚	c=2 d=2.20957e-121 t=325666
ni jiu 	你就	c=9 d=0.000119762 t=325666
ni jiu bu neng ne ge 	你就不能呢個	c=1 d=1.82107e-52 t=325666
ni jiu dei 	你就得	c=1 d=6.47512e-123 t=325666
ni jiu ke yi 	你就可以	c=2 d=2.78701e-29 t=325666
ni jiu qu 	你就去	c=1 d=7.42568e-205 t=325666
ni jiu shi 	你就是	c=2 d=8.56388e-30 t=325666
ni jiu shuo 	你就說	c=4 d=1.23297e-52 t=325666
ni jiu zhi dao 	你就知道	c=1 d=2.04941e-30 t=325666
ni jiu zhi jie 	你就直接	c=1 d=5.25237e-102 t=325666
ni ju ran 	你居然	c=1 d=1.21405e-164 t=325666
ni jue de 	你覺得	c=2 d=4.58469e-32 t=325666
ni kai 	尼开	c=1 d=2.08393e-50 t=325666
ni kai qi 	你開啓	c=2 d=2.16669e-67 t=325666
ni kan 	你看	c=26 d=5.17027e-05 t=325666
ni kan bie ren 	你看別人	c=1 d=1.9131e-220 t=325666
ni kan kan 	你看看	c=5 d=3.36377e-36 t=325666
ni kan qi lai 	你看起來	c=1 d=1.41286e-66 t=325666
ni kan xia 	你看下	c=20 d=5.19796e-09 t=325666
ni kan yi xia 	你看一下	c=4 d=3.07353e-92 t=325666
ni kan zhe bei 	你看着被	c=1 d=0.00036159 t=325666
ni kang 	尼康	c=1 d=5.33902e-118 t=325666
ni ke 	你可	c=0 d=1.26811e-207 t=325666
ni ke 	妮可	c=1 d=1.13427e-41 t=325666
ni ke tong yi 	你可同意	c=1 d=1.27447e-206 t=325666
ni ke yi 	你可以	c=111 d=0.00167732 t=325666
ni ke yi qun 	你可以群	c=1 d=3.44658e-28 t=325666
ni kuan du 	你寬度	c=1 d=3.76631e-101 t=325666
ni lai 	你來	c=6 d=5.13382e-10 t=325666
ni lao ba 	你老爸	c=2 d=1.34787e-166 t=325666
ni le 	你了	c=13 d=1.27211e-08 t=325666
ni li 	擬鯉	c=1 d=6.11486e-126 t=325666
ni li mian 	你立面	c=1 d=2.32854e-91 t=325666
ni mei 	你沒	c=4 d=1.29134e-09 t=325666
ni mei kan 	你沒看	c=1 d=1.29781e-08 t=325666
ni mei you 	你沒有	c=3 d=3.83219e-11 t=325666
ni mei zai 	你沒在	c=1 d=3.52197e-106 t=325666
ni men 	你們	c=271 d=0.59346 t=325666
ni men shuo 	你們說	c=1 d=8.676e-271 t=325666
ni men xian zai 	你們現在	c=1 d=1.41109e-110 t=325666
ni men you mei you 	你們有沒有	c=1 d=7.1037e-66 t=325666
ni men zhe bian 	你們這邊	c=2 d=0.000294568 t=325666
ni men zu 	你們足	c=1 d=3.45105e-102 t=325666
ni mian ban 	你面板	c=1 d=2.97064e-15 t=325666
ni ming 	匿名	c=3 d=1.54481e-50 t=325666
ni ming tian 	你明天	c=6 d=3.07269e-30 t=325666
ni ming zi 	你名字	c=2 d=4.74592e-115 t=325666
ni na 	你那	c=1 d=4.80163e-164 t=325666
ni na bian 	你那邊	c=5 d=7.90603e-119 t=325666
ni na ge 	你那個	c=18 d=0.0015648 t=325666
ni na jia 	你那家	c=1 d=6.01109e-13 t=325666
ni ne 	你呢	c=1 d=5.25199e-13 t=325666
ni neng 	你能	c=3 d=8.65317e-05 t=325666
ni neng bu neng 	你能不能	c=1 d=6.80087e-171 t=325666
ni neng zai 	你能在	c=1 d=1.6797e-160 t=325666
ni o 	你哦	c=1 d=6.01992e-89 t=325666
ni pa 	你怕	c=0 d=4.99403e-186 t=325666
ni pa shi 	你怕是	c=1 d=5.01906e-185 t=325666
ni pan duan 	你判斷	c=1 d=0.00282287 t=325666
ni pei dai 	你佩戴	c=1 d=5.62992e-07 t=325666
ni pu sa 	泥菩薩	c=1 d=2.3922e-26 t=325666
ni qi shi 	尼崎市	c=2 d=9.18981e-07 t=325666
ni qi ta 	你其他	c=1 d=1.30543e-18 t=325666
ni qu 	你去	c=8 d=0.00107547 t=325666
ni qu ri di nian 	你取日地念	c=1 d=4.93844e-171 t=325666
ni quan xian 	你全先	c=1 d=1.03987e-195 t=325666
ni que ding 	你確定	c=9 d=0.0464212 t=325666
ni qun 	擬群	c=0 d=1.38447e-181 t=325666
ni qun li 	擬群力	c=1 d=1.39141e-180 t=325666
ni rang 	你讓	c=4 d=4.59656e-33 t=325666
ni rang ta 	你讓他	c=1 d=3.17892e-165 t=325666
ni ren zheng 	你認證	c=1 d=6.79624e-163 t=325666
ni ri li ya 	尼日利亞	c=1 d=1.73892e-09 t=325666
ni ri shen 	你日神	c=1 d=3.12128e-185 t=325666
ni ru guo 	你如果	c=1 d=6.38218e-100 t=325666
ni shang 	逆殤	c=1 d=2.41593e-142 t=325666
ni shang mian 	你上面	c=1 d=3.49773e-113 t=325666
ni shang zhou 	你上周	c=1 d=6.45056e-284 t=325666
ni shao hou 	你稍候	c=3 d=1.43969e-52 t=325666
ni she zhi 	你設置	c=2 d=1.58032e-119 t=325666
ni shen me 	你什麼	c=1 d=2.74533e-87 t=325666
ni shen qin 	你神親	c=1 d=2.50139e-198 t=325666
ni shen qing 	你申請	c=1 d=1.28146e-241 t=325666
ni shen ti 	你身體	c=1 d=1.28683e-55 t=325666
ni shi 	你是	c=59 d=0.273898 t=325666
ni shi bu shi 	你是不是	c=14 d=0.0219278 t=325666
ni shi jian 	你時間	c=2 d=2.56164e-37 t=325666
ni shi yi xia 	你試一下	c=4 d=1.01056e-06 t=325666
ni shi yong 	你使用	c=1 d=8.67683e-184 t=325666
ni shi zhi 	你是指	c=1 d=3.505e-108 t=325666
ni shi zhun bei 	你是準備	c=1 d=1.19629e-79 t=325666
ni shou dong 	你手動	c=2 d=8.06326e-86 t=325666
ni shu 	逆數	c=1 d=1.13466e-45 t=325666
ni shu xi 	你熟悉	c=1 d=0.182684 t=325666
ni shua xin 	你刷新	c=2 d=2.11254e-34 t=325666
ni shui han 	逆水寒	c=1 d=1.29363e-117 t=325666
ni shuo 	你說	c=10 d=1.56746e-23 t=325666
ni shuo de 	你說的	c=17 d=9.61117e-05 t=325666
ni shuo hua 	你說話	c=1 d=2.71978e-124 t=325666
ni shuo ming xia 	你說明下	c=1 d=1.02937e-17 t=325666
ni shuo ne 	你說呢	c=2 d=9.83039e-35 t=325666
ni shuo xia 	你說下	c=1 d=6.06104e-169 t=325666
ni shuo zhe ge 	你說這個	c=1 d=1.89257e-152 t=325666
ni sou suo 	你搜索	c=6 d=2.05618e-10 t=325666
ni sui bian 	你隨便	c=1 d=8.89642e-37 t=325666
ni sui ji 	你隨機	c=1 d=2.09622e-31 t=325666
ni ting 	你聽	c=0 d=7.39636e-42 t=325666
ni ting bu 	你聽不	c=1 d=7.43344e-41 t=325666
ni ting ting 	你聽聽	c=1 d=1.3204e-152 t=325666
ni tou tou 	你偷偷	c=1 d=1.6414e-124 t=325666
ni tuo 	擬妥	c=0 d=1.22972e-257 t=325666
ni wan shang 	你晚上	c=1 d=5.93048e-60 t=325666
ni wang le 	你忘了	c=1 d=1.22157e-31 t=325666
ni wen 	你問	c=2 d=4.71743e-104 t=325666
ni wen de 	你問的	c=1 d=4.74108e-103 t=325666
ni wen wo 	你問我	c=1 d=1.52042e-135 t=325666
ni wen xia 	你問下	c=1 d=8.55147e-248 t=325666
ni xia ban 	你下班	c=2 d=2.24745e-27 t=325666
ni xia fa 	你下發	c=4 d=0.000731802 t=325666
ni xia wu 	你下午	c=1 d=2.55532e-243 t=325666
ni xia zai 	你下載	c=1 d=1.35857e-105 t=325666
ni xian 	你先	c=14 d=7.83238e-09 t=325666
ni xian kan kan 	你先看看	c=1 d=6.05357e-37 t=325666
ni xian rang 	你先讓	c=1 d=3.22312e-151 t=325666
ni xian zai 	你現在	c=17 d=0.00640933 t=325666
ni xian zhi 	你限制	c=1 d=2.35507e-136 t=325666
ni xiang 	你想	c=6 d=7.90975e-07 t=325666
ni xiang 	逆向	c=1 d=3.71267e-285 t=325666
ni xiang ti 	你想提	c=1 d=1.76043e-271 t=325666
ni xiang wo 	你想我	c=1 d=3.99512e-89 t=325666
ni xiang yao 	你想要	c=1 d=4.53945e-268 t=325666
ni xiao zi 	你小子	c=5 d=4.6627e-54 t=325666
ni xie 	你寫	c=1 d=1.09649e-113 t=325666
ni xing 	逆行	c=0 d=3.78748e-21 t=325666
ni xu yao 	你需要	c=5 d=3.1041e-32 t=325666
ni xue xie 	你血洩	c=1 d=8.12334e-232 t=325666
ni yan ge 	你嚴格	c=1 d=1.11845e-111 t=325666
ni yao 	你要	c=21 d=1.95557e-08 t=325666
ni yao bu 	你要不	c=1 d=1.10177e-140 t=325666
ni yao shi 	你要是	c=5 d=7.98846e-94 t=325666
ni ye 	你也	c=17 d=0.00726512 t=325666
ni ye ke yi 	你也可以	c=17 d=8.7339e-26 t=325666
ni ye mei yo 	你也沒喲	c=1 d=8.49951e-147 t=325666
ni ye shi 	你也是	c=2 d=2.25089e-45 t=325666
ni ye yao 	你也要	c=1 d=8.19488e-100 t=325666
ni yi 	你一	c=0 d=5.90956e-137 t=325666
ni yi a 	你一啊	c=1 d=5.93919e-136 t=325666
ni yi ding 	你一定	c=1 d=3.02015e-33 t=325666
ni yi ge 	你一個	c=3 d=0.319829 t=325666
ni yi jing 	你已經	c=7 d=1.23196e-13 t=325666
ni yi shuo 	你一說	c=1 d=1.37447e-183 t=325666
ni yi si 	你意思	c=1 d=1.75186e-08 t=325666
ni yi wei 	你以爲	c=2 d=4.89494e-67 t=325666
ni ying gai 	你應該	c=3 d=1.27446e-60 t=325666
ni ying gai shi 	你應該是	c=1 d=1.28085e-59 t=325666
ni yong 	你用	c=6 d=0.308819 t=325666
ni yong de 	你用的	c=3 d=9.84406e-22 t=325666
ni you 	你又	c=1 d=2.2098e-181 t=325666
ni you 	你有	c=19 d=0.0241131 t=325666
ni you kong 	你有空	c=2 d=1.51329e-21 t=325666
ni you mei you 	你有沒有	c=2 d=2.4192e-11 t=325666
ni you pei zhi 	你有配置	c=1 d=3.08684e-84 t=325666
ni you xu yao 	你有需要	c=1 d=9.62465e-139 t=325666
ni you yi ge 	你有一個	c=1 d=1.33457e-160 t=325666
ni you yi xie 	你有一些	c=1 d=2.77916e-84 t=325666
ni you zuo 	你有做	c=1 d=6.24709e-113 t=325666
ni yuan ben 	你原本	c=2 d=8.07091e-09 t=325666
ni zai 	你再	c=5 d=4.02375e-26 t=325666
ni zai 	你在	c=48 d=0.000141247 t=325666
ni zai jia 	你在家	c=1 d=3.96843e-69 t=325666
ni zao shang 	你早上	c=2 d=3.86165e-101 t=325666
ni zen me 	你怎麼	c=5 d=6.20576e-35 t=325666
ni zhang hao 	你賬號	c=3 d=5.50085e-87 t=325666
ni zhao 	你找	c=9 d=0.00737249 t=325666
ni zhao dao le 	你找到了	c=1 d=1.08533e-169 t=325666
ni zhao ge 	你找哥	c=1 d=8.28341e-50 t=325666
ni zhe 	你這	c=1 d=1.0209e-08 t=325666
ni zhe 	逆着	c=2 d=1.01074e-08 t=325666
