# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	112144
#@/user_id	MacBook
a 	啊	c=165 d=0.114078 t=112144
na 	哪	c=32 d=7.91514e-15 t=112144
na 	拿	c=11 d=6.23753e-95 t=112144
na 	那	c=179 d=0.183197 t=112144
na bian 	那邊	c=19 d=6.64668e-19 t=112144
na bu 	哪部	c=2 d=1.36976e-172 t=112144
na bu fen 	哪部分	c=2 d=2.38262e-67 t=112144
na cai shi 	那纔是	c=1 d=7.52252e-181 t=112144
na chu lai 	拿出來	c=2 d=4.97408e-226 t=112144
na dao 	拿到	c=5 d=0.0880369 t=112144
na dei shi 	那得是	c=1 d=8.03261e-100 t=112144
na duan 	那段	c=1 d=1.49662e-214 t=112144
na fen 	那份	c=1 d=3.54445e-122 t=112144
na gao 	拿高	c=1 d=2.3684e-26 t=112144
na ge 	哪個	c=78 d=4.45357e-10 t=112144
na ge 	那個	c=66 d=3.12122e-07 t=112144
na hai hao 	那還好	c=1 d=5.65993e-187 t=112144
na hai shi 	那還是	c=1 d=1.38094e-150 t=112144
na hao 	那好	c=0 d=3.37926e-91 t=112144
na hao de 	那好的	c=1 d=3.39621e-90 t=112144
na hui bu hui 	那會不會	c=1 d=3.71185e-18 t=112144
na ji ben 	那基本	c=1 d=4.46986e-204 t=112144
na jiu 	那就	c=33 d=1.27213e-06 t=112144
na jiu de 	那就的	c=1 d=7.24257e-176 t=112144
na jiu hao 	那就好	c=1 d=3.63812e-76 t=112144
na jiu hui 	那就會	c=1 d=1.91003e-113 t=112144
na jiu shi 	那就是	c=10 d=1.50027e-37 t=112144
na jiu xing 	那就行	c=1 d=2.49927e-188 t=112144
na kan lai 	那看來	c=6 d=1.94112e-09 t=112144
na le 	拿了	c=1 d=8.01902e-227 t=112144
na li 	哪裏	c=26 d=1.7089e-10 t=112144
na li 	那裏	c=7 d=3.50027e-47 t=112144
na me 	那麼	c=8 d=0.00532682 t=112144
na me hao 	那麼好	c=1 d=6.2919e-197 t=112144
na ni 	納尼	c=3 d=1.13941e-06 t=112144
na ni 	那你	c=1 d=1.07397e-16 t=112144
na qi 	納氣	c=0 d=1.77389e-244 t=112144
na qi bu shi 	納氣不是	c=1 d=1.78279e-243 t=112144
na qi shi 	那其實	c=1 d=1.59761e-100 t=112144
na ru 	納入	c=9 d=2.70283e-52 t=112144
na ru guo 	那如果	c=1 d=4.043e-229 t=112144
na shi 	那是	c=1 d=2.77596e-188 t=112144
na tai 	哪臺	c=2 d=2.72841e-131 t=112144
na tai 	那臺	c=1 d=1.12597e-131 t=112144
na tao 	那套	c=3 d=1.4519e-84 t=112144
na tian 	哪天	c=1 d=4.16241e-101 t=112144
na tian 	那天	c=1 d=7.04072e-167 t=112144
na wei 	哪位	c=10 d=3.17662e-39 t=112144
na wei 	那位	c=2 d=4.38402e-174 t=112144
na wo 	拿我	c=6 d=1.20384e-153 t=112144
na wo 	那我	c=30 d=8.81276e-08 t=112144
na wo men 	那我們	c=1 d=3.06726e-68 t=112144
na xia 	拿下	c=1 d=1.53335e-117 t=112144
na xian zai 	那現在	c=1 d=6.45887e-211 t=112144
na xie 	哪些	c=10 d=0.00554422 t=112144
na xie 	那些	c=2 d=5.81743e-157 t=112144
na yang 	那樣	c=2 d=4.34484e-135 t=112144
na ye 	那也	c=3 d=5.96344e-37 t=112144
na yi ge 	那一個	c=1 d=2.37574e-33 t=112144
na ying gai 	那應該	c=1 d=1.21809e-115 t=112144
na you 	哪有	c=2 d=2.95287e-116 t=112144
na you 	那有	c=1 d=2.886e-116 t=112144
na zhe 	拿着	c=2 d=4.19424e-73 t=112144
na zhe bian 	那這邊	c=1 d=2.80748e-115 t=112144
na zhe ge 	那這個	c=5 d=1.29618e-53 t=112144
na zhe ge ku 	那這個庫	c=1 d=1.30268e-52 t=112144
na zhe li 	那這裏	c=9 d=4.29969e-71 t=112144
na zhe yang 	那這樣	c=2 d=4.50554e-33 t=112144
na zhong 	那種	c=5 d=3.69198e-129 t=112144
nai 	奶	c=8 d=2.7798e-33 t=112144
nai cha 	奶茶	c=1 d=2.72627e-152 t=112144
nan 	男	c=2 d=1.76425e-32 t=112144
nan 	難	c=18 d=0.26982 t=112144
nan ao gao zhong 	南澳高中	c=1 d=3.05914e-125 t=112144
nan bao 	難保	c=1 d=2.42835e-26 t=112144
nan chi 	難喫	c=1 d=7.09237e-106 t=112144
nan dao 	難道	c=4 d=1.92208e-40 t=112144
nan de 	男的	c=1 d=4.06465e-233 t=112144
nan ding 	難頂	c=1 d=1.15098e-66 t=112144
nan gao 	難搞	c=2 d=2.1995e-38 t=112144
nan mian 	難免	c=1 d=0.0156858 t=112144
nan shan 	南山	c=2 d=1.88626e-193 t=112144
nan sheng 	男生	c=1 d=1.9243e-83 t=112144
nan shou 	難受	c=2 d=6.02997e-138 t=112144
nan shua 	難刷	c=1 d=2.14244e-111 t=112144
nan ti 	難題	c=1 d=1.03524e-25 t=112144
nang zhong 	囊腫	c=1 d=3.07448e-125 t=112144
nao 	腦	c=1 d=4.99249e-152 t=112144
nao bu 	脑补	c=1 d=2.64848e-135 t=112144
nao dai 	腦袋	c=1 d=6.23142e-201 t=112144
nao hai 	腦海	c=0 d=7.26373e-35 t=112144
nao zhe wan 	鬧着玩	c=1 d=3.15255e-214 t=112144
nao zi 	腦子	c=3 d=4.1742e-193 t=112144
ne 	呢	c=72 d=0.00135723 t=112144
ne ge 	呢個	c=0 d=8.18396e-232 t=112144
ne zha 	哪吒	c=1 d=5.09215e-208 t=112144
nei 	內	c=40 d=4.54688e-06 t=112144
nei bu 	內部	c=27 d=1.08816e-27 t=112144
nei ceng 	內層	c=1 d=1.39273e-103 t=112144
nei cong 	內從	c=1 d=1.67268e-52 t=112144
nei cun 	內存	c=32 d=2.17843e-13 t=112144
nei fou 	內否	c=1 d=7.19122e-63 t=112144
nei gui 	內鬼	c=0 d=6.50784e-242 t=112144
nei hao 	內耗	c=1 d=4.05579e-178 t=112144
nei he 	內核	c=1 d=1.59902e-81 t=112144
nei rong 	內容	c=135 d=0.00204732 t=112144
nei shen 	內審	c=1 d=2.79614e-185 t=112144
nei wang 	內網	c=3 d=3.29506e-146 t=112144
nei yu 	内娱	c=1 d=5.65182e-82 t=112144
nei zang 	內臟	c=1 d=1.32336e-149 t=112144
nen 	嫩	c=1 d=4.48355e-93 t=112144
neng 	能	c=36 d=1.84419e-24 t=112144
neng ba 	能把	c=1 d=7.39313e-124 t=112144
neng bu 	能不	c=2 d=1.82584e-25 t=112144
neng bu ne gei 	能不呢給	c=1 d=1.835e-24 t=112144
neng bu neng 	能不能	c=46 d=0.00235819 t=112144
neng bu neng ne ge 	能不能呢個	c=4 d=4.56741e-17 t=112144
neng chu 	能出	c=1 d=1.32868e-108 t=112144
neng dao 	能到	c=1 d=2.19392e-155 t=112144
neng fou 	能否	c=5 d=1.62639e-16 t=112144
neng gou 	能夠	c=4 d=1.62046e-59 t=112144
neng jie jue 	能解決	c=1 d=8.07012e-96 t=112144
neng li 	能力	c=151 d=1.13444e-06 t=112144
neng li de 	能力的	c=1 d=3.51202e-14 t=112144
neng li o 	能力哦	c=1 d=2.86106e-14 t=112144
neng zhao dao 	能找到	c=1 d=1.51295e-224 t=112144
ni 	你	c=316 d=0.138207 t=112144
ni 	呢	c=1 d=5.24204e-167 t=112144
ni 	逆	c=1 d=2.23201e-181 t=112144
ni ba 	你把	c=3 d=7.48645e-07 t=112144
ni bang mang 	你幫忙	c=1 d=2.49273e-216 t=112144
ni bu neng 	你不能	c=1 d=6.25839e-193 t=112144
ni bu shi 	你不是	c=13 d=7.20853e-07 t=112144
ni bu shu 	你部署	c=3 d=6.76886e-30 t=112144
ni bu shuo 	你不說	c=1 d=7.30417e-158 t=112144
ni bu zhou 	你步驟	c=1 d=3.73288e-55 t=112144
ni cheng 	昵稱	c=39 d=1.69242e-43 t=112144
ni chong xin 	你重新	c=3 d=2.94108e-15 t=112144
ni da kai 	你打開	c=2 d=2.83645e-30 t=112144
ni de 	你的	c=36 d=1.41614e-05 t=112144
ni de 	逆的	c=1 d=6.98469e-220 t=112144
ni de yi si 	你的意思	c=1 d=1.82977e-108 t=112144
ni deng 	你等	c=1 d=1.49941e-89 t=112144
ni deng yi xia 	你等一下	c=1 d=3.10254e-173 t=112144
ni fa 	你發	c=2 d=1.1738e-42 t=112144
ni fang xin 	你方新	c=1 d=9.24352e-193 t=112144
ni fen zhi 	你分支	c=1 d=1.93961e-88 t=112144
ni fu gai 	你覆蓋	c=1 d=6.41615e-133 t=112144
ni fu wu 	你服務	c=1 d=9.21644e-41 t=112144
ni fu wu qi 	你服務器	c=1 d=1.02281e-30 t=112144
ni fu ze 	你負責	c=1 d=2.0608e-07 t=112144
ni gang 	你剛	c=1 d=1.58205e-220 t=112144
ni gang cai 	你剛纔	c=1 d=3.83639e-112 t=112144
ni ge 	你個	c=1 d=3.71086e-103 t=112144
ni gei 	你給	c=1 d=1.50534e-107 t=112144
ni gei de 	你給的	c=1 d=1.51289e-106 t=112144
ni gei ge 	你給個	c=1 d=1.81756e-235 t=112144
ni guo 	尼國	c=1 d=5.64725e-190 t=112144
ni hai 	你還	c=0 d=1.54025e-112 t=112144
ni hai ji de 	你還記得	c=1 d=1.54797e-111 t=112144
ni hai mei 	你還沒	c=2 d=4.24247e-178 t=112144
ni hai shi 	你還是	c=1 d=1.98506e-37 t=112144
ni hai yao 	你還要	c=1 d=1.25096e-46 t=112144
ni hai you 	你還有	c=1 d=3.1411e-230 t=112144
ni hao 	你好	c=33 d=2.91103e-35 t=112144
ni he 	你和	c=4 d=6.03178e-24 t=112144
ni hu lve 	你忽略	c=1 d=5.07912e-31 t=112144
ni hui 	你會	c=1 d=6.68227e-23 t=112144
ni hui gui 	你回歸	c=1 d=7.51845e-204 t=112144
ni jin wan 	你今晚	c=1 d=2.84197e-141 t=112144
ni jiu 	你就	c=2 d=2.07389e-52 t=112144
ni jiu dei 	你就得	c=1 d=6.47512e-123 t=112144
ni jiu ke yi 	你就可以	c=1 d=7.44743e-210 t=112144
ni jiu shi 	你就是	c=1 d=8.56388e-30 t=112144
ni jiu shuo 	你就說	c=1 d=1.40951e-185 t=112144
ni ju ran 	你居然	c=1 d=1.21405e-164 t=112144
ni kai qi 	你開啓	c=1 d=4.63111e-121 t=112144
ni kan 	你看	c=10 d=1.62954e-09 t=112144
ni kan bie ren 	你看別人	c=1 d=1.9131e-220 t=112144
ni kan kan 	你看看	c=2 d=2.34518e-204 t=112144
ni kan xia 	你看下	c=9 d=4.31696e-30 t=112144
ni kan yi xia 	你看一下	c=4 d=3.07353e-92 t=112144
ni kang 	尼康	c=1 d=5.33902e-118 t=112144
ni ke yi 	你可以	c=37 d=1.7658e-13 t=112144
ni kuan du 	你寬度	c=1 d=3.76631e-101 t=112144
ni lao ba 	你老爸	c=2 d=1.34787e-166 t=112144
ni le 	你了	c=3 d=1.89759e-95 t=112144
ni li 	擬鯉	c=1 d=6.11486e-126 t=112144
ni mei 	你沒	c=3 d=1.0015e-47 t=112144
ni mei you 	你沒有	c=1 d=1.48425e-234 t=112144
ni men 	你們	c=103 d=9.54341e-10 t=112144
ni men xian zai 	你們現在	c=1 d=1.41109e-110 t=112144
ni ming 	匿名	c=2 d=1.54481e-50 t=112144
ni ming tian 	你明天	c=2 d=2.41747e-32 t=112144
ni ming zi 	你名字	c=1 d=1.22366e-198 t=112144
ni na 	你那	c=1 d=4.80163e-164 t=112144
ni na bian 	你那邊	c=3 d=9.05307e-154 t=112144
ni na ge 	你那個	c=7 d=1.69041e-29 t=112144
ni neng 	你能	c=1 d=6.90175e-109 t=112144
ni pu sa 	泥菩薩	c=1 d=2.3922e-26 t=112144
ni qu 	你去	c=3 d=6.5195e-27 t=112144
ni qu ri di nian 	你取日地念	c=1 d=4.93844e-171 t=112144
ni que ding 	你確定	c=2 d=1.55193e-141 t=112144
ni rang 	你讓	c=1 d=2.87023e-81 t=112144
ni ri shen 	你日神	c=1 d=3.12128e-185 t=112144
ni shang 	逆殤	c=1 d=2.41593e-142 t=112144
ni shang mian 	你上面	c=1 d=3.49773e-113 t=112144
ni she zhi 	你設置	c=1 d=4.60958e-125 t=112144
ni shen qin 	你神親	c=1 d=2.50139e-198 t=112144
ni shen qing 	你申請	c=1 d=1.28146e-241 t=112144
ni shi 	你是	c=24 d=0.273898 t=112144
ni shi bu shi 	你是不是	c=5 d=1.03718e-47 t=112144
ni shi jian 	你時間	c=2 d=2.56164e-37 t=112144
ni shi yi xia 	你試一下	c=3 d=1.01056e-06 t=112144
ni shi yong 	你使用	c=1 d=8.67683e-184 t=112144
ni shua xin 	你刷新	c=2 d=2.11254e-34 t=112144
ni shui han 	逆水寒	c=1 d=1.29363e-117 t=112144
ni shuo 	你說	c=4 d=3.18431e-38 t=112144
ni shuo de 	你說的	c=9 d=3.34073e-14 t=112144
ni shuo hua 	你說話	c=1 d=2.71978e-124 t=112144
ni shuo ming xia 	你說明下	c=1 d=1.02937e-17 t=112144
ni sou suo 	你搜索	c=2 d=1.44356e-113 t=112144
ni sui ji 	你隨機	c=1 d=2.09622e-31 t=112144
ni ting 	你聽	c=0 d=7.39636e-42 t=112144
ni ting bu 	你聽不	c=1 d=7.43344e-41 t=112144
ni ting ting 	你聽聽	c=1 d=1.3204e-152 t=112144
ni wen 	你問	c=2 d=2.4891e-131 t=112144
ni xia fa 	你下發	c=3 d=1.31663e-89 t=112144
ni xia zai 	你下載	c=1 d=1.35857e-105 t=112144
ni xian 	你先	c=2 d=6.02338e-38 t=112144
ni xian kan kan 	你先看看	c=1 d=6.05357e-37 t=112144
ni xian zai 	你現在	c=9 d=2.34193e-31 t=112144
ni xian zhi 	你限制	c=1 d=2.35507e-136 t=112144
ni xiang 	你想	c=1 d=7.90975e-07 t=112144
ni xiao zi 	你小子	c=4 d=1.92865e-117 t=112144
ni xue xie 	你血洩	c=1 d=8.12334e-232 t=112144
ni yan ge 	你嚴格	c=1 d=1.11845e-111 t=112144
ni yao 	你要	c=10 d=1.18745e-80 t=112144
ni yao bu 	你要不	c=1 d=1.10177e-140 t=112144
ni yao shi 	你要是	c=2 d=7.98846e-94 t=112144
ni ye 	你也	c=5 d=9.81161e-34 t=112144
ni ye ke yi 	你也可以	c=8 d=2.58739e-37 t=112144
ni ye shi 	你也是	c=2 d=2.25089e-45 t=112144
ni ye yao 	你也要	c=1 d=8.19488e-100 t=112144
ni yi 	你一	c=0 d=5.90956e-137 t=112144
ni yi a 	你一啊	c=1 d=5.93919e-136 t=112144
ni yi jing 	你已經	c=4 d=1.17364e-60 t=112144
ni yi shuo 	你一說	c=1 d=1.37447e-183 t=112144
ni yi wei 	你以爲	c=1 d=3.13682e-214 t=112144
ni ying gai 	你應該	c=1 d=1.51403e-203 t=112144
ni yong 	你用	c=2 d=7.48955e-100 t=112144
ni yong de 	你用的	c=2 d=9.84406e-22 t=112144
ni you 	你有	c=9 d=3.46551e-63 t=112144
ni you yi ge 	你有一個	c=1 d=1.33457e-160 t=112144
ni zai 	你再	c=1 d=4.02375e-26 t=112144
ni zai 	你在	c=14 d=1.02072e-06 t=112144
ni zen me 	你怎麼	c=4 d=6.20576e-35 t=112144
ni zhang hao 	你賬號	c=2 d=5.50085e-87 t=112144
ni zhao 	你找	c=5 d=3.00694e-99 t=112144
ni zhe 	逆着	c=1 d=6.6048e-121 t=112144
ni zhe bian 	你這邊	c=32 d=4.59749e-06 t=112144
ni zhe ge 	你這個	c=15 d=1.93079e-05 t=112144
ni zhe li 	你這裏	c=13 d=8.34385e-10 t=112144
ni zhe me kuai 	你這麼快	c=2 d=1.19028e-108 t=112144
ni zhe shi 	你這是	c=1 d=8.64119e-165 t=112144
ni zhi dao 	你知道	c=4 d=4.13629e-27 t=112144
ni zhi de 	你指的	c=2 d=3.24114e-99 t=112144
ni zhi jian 	你之間	c=1 d=3.06958e-165 t=112144
ni zhi jie 	你直接	c=8 d=6.91322e-11 t=112144
ni zhi neng 	你只能	c=1 d=3.67355e-43 t=112144
ni zhi qian 	你之前	c=4 d=2.37089e-09 t=112144
ni zhuan 	逆轉	c=1 d=2.95384e-154 t=112144
ni zhun bei 	你準備	c=1 d=3.22487e-128 t=112144
ni zi ji 	你自己	c=2 d=1.26943e-42 t=112144
ni zui kai shi 	你最開始	c=1 d=3.53289e-113 t=112144
ni zuo wan 	你昨晚	c=1 d=1.64609e-40 t=112144
nian 	年	c=32 d=2.25347e-18 t=112144
nian chu 	年初	c=1 d=4.09726e-180 t=112144
nian de 	年的	c=2 d=4.95697e-215 t=112144
nian di 	年底	c=2 d=5.45018e-37 t=112144
nian duo le 	年多了	c=1 d=2.23262e-243 t=112144
nian fen 	年份	c=1 d=4.04614e-150 t=112144
nian hou 	年後	c=13 d=9.01705e-19 t=112144
nian hui 	年會	c=10 d=3.8444e-47 t=112144
nian ji 	年紀	c=1 d=3.34724e-125 t=112144
nian ji 	年饥	c=1 d=3.31394e-125 t=112144
nian li 	年例	c=4 d=4.2608e-23 t=112144
nian ling 	年齡	c=1 d=1.08348e-149 t=112144
nian mo 	年末	c=6 d=4.70235e-36 t=112144
nian nian 	年年	c=1 d=4.62042e-182 t=112144
nian qian 	年前	c=8 d=6.86916e-24 t=112144
nian qing ren 	年輕人	c=1 d=1.91277e-218 t=112144
nian xin 	年薪	c=1 d=5.7894e-159 t=112144
nian ye fan 	年夜飯	c=1 d=3.32114e-33 t=112144
nian yu 	鮎魚	c=1 d=2.99767e-239 t=112144
nian zhong 	年中	c=1 d=1.85981e-35 t=112144
nian zhong 	年終	c=6 d=5.52903e-36 t=112144
niao 	尿	c=1 d=5.19728e-125 t=112144
nie 	捏	c=1 d=2.09845e-161 t=112144
nie yi xia 	捏一下	c=1 d=2.97603e-242 t=112144
nin 	您	c=2 d=7.23873e-146 t=112144
ning meng 	檸檬	c=1 d=9.63839e-97 t=112144
niu 	扭	c=1 d=3.32863e-177 t=112144
niu 	牛	c=7 d=2.71404e-11 t=112144
niu zai 	牛仔	c=1 d=2.60969e-226 t=112144
niu zhuan 	扭轉	c=9 d=2.07255e-15 t=112144
niu zhuan xia 	扭轉下	c=2 d=8.4467e-15 t=112144
nong cun 	農村	c=4 d=5.20853e-147 t=112144
nong hun 	弄混	c=1 d=2.04023e-36 t=112144
nong le 	弄了	c=1 d=7.57826e-209 t=112144
nu 	怒	c=0 d=1.62094e-242 t=112144
nu li 	努力	c=3 d=1.56182e-10 t=112144
nuan 	暖	c=2 d=1.96766e-131 t=112144
nuo 	挪	c=32 d=1.01598e-10 t=112144
nuo dao 	挪到	c=7 d=1.3113e-12 t=112144
nuo dong 	挪動	c=1 d=4.79137e-227 t=112144
nuo le 	挪了	c=1 d=2.29801e-24 t=112144
nuo wei 	挪威	c=1 d=8.41889e-35 t=112144
nuo xia 	挪下	c=2 d=1.43763e-94 t=112144
nuo yi xia 	挪一下	c=1 d=4.34959e-236 t=112144
nv 	女	c=3 d=9.3421e-112 t=112144
nv ce 	女廁	c=1 d=1.07712e-168 t=112144
nv er 	女兒	c=2 d=5.79565e-131 t=112144
nv peng you 	女朋友	c=3 d=3.95268e-81 t=112144
nv xing 	女性	c=1 d=1.06203e-149 t=112144
nv zhu 	女主	c=1 d=0.264477 t=112144
o 	哦	c=44 d=0.851556 t=112144
o bu dui 	哦不對	c=1 d=1.18024e-126 t=112144
o cu mu 	哦醋母	c=1 d=7.14423e-221 t=112144
o dui 	哦對	c=2 d=3.73327e-115 t=112144
o o 	哦哦	c=15 d=4.76126e-06 t=112144
o o o 	哦哦哦	c=1 d=0.13332 t=112144
o ping lun 	哦評論	c=1 d=7.28732e-219 t=112144
ou 	偶	c=4 d=2.92134e-24 t=112144
ou er 	偶爾	c=2 d=8.30741e-84 t=112144
ou he 	耦合	c=6 d=1.56738e-37 t=112144
ou ke 	鷗科	c=4 d=6.39325e-91 t=112144
ou mei 	歐美	c=3 d=1.90335e-34 t=112144
ou shu 	偶數	c=2 d=2.12013e-76 t=112144
ou xian 	偶線	c=1 d=1.47373e-121 t=112144
ou yuan 	歐元	c=0 d=2.44021e-143 t=112144
pa 	怕	c=9 d=4.9733e-48 t=112144
pa 	爬	c=2 d=5.94077e-51 t=112144
pa 	趴	c=1 d=2.34652e-152 t=112144
pa sha 	怕啥	c=1 d=6.4994e-167 t=112144
pa shan 	爬山	c=1 d=2.75065e-51 t=112144
pai 	拍	c=3 d=1.27629e-164 t=112144
pai 	排	c=23 d=0.0236541 t=112144
pai ban 	拍板	c=5 d=2.33227e-51 t=112144
pai ban 	排版	c=5 d=2.34396e-51 t=112144
pai cha 	排查	c=57 d=3.35888e-11 t=112144
pai cha dao 	排查到	c=1 d=4.14377e-107 t=112144
pai cha le 	排查了	c=1 d=5.00371e-149 t=112144
pai cha xia 	排查下	c=5 d=2.24496e-90 t=112144
pai chi 	排斥	c=1 d=0.0675424 t=112144
pai chu 	排出	c=5 d=0.782705 t=112144
pai chu 	排除	c=3 d=1.0559e-81 t=112144
pai lie 	排列	c=2 d=1.42212e-164 t=112144
pai nao dai 	拍腦袋	c=1 d=2.73516e-14 t=112144
pai qi 	排期	c=39 d=5.66097e-07 t=112144
pai qiu 	排球	c=1 d=2.99705e-119 t=112144
pai she 	拍攝	c=1 d=3.23078e-32 t=112144
pai xu 	排序	c=13 d=3.87058e-31 t=112144
pai zhao 	拍照	c=2 d=1.25225e-58 t=112144
pan 	潘	c=1 d=3.12317e-104 t=112144
pan 	盤	c=17 d=7.77666e-72 t=112144
pan duan 	判斷	c=190 d=3.80653e-05 t=112144
pan duan lei xing 	判斷類型	c=1 d=5.27011e-171 t=112144
pan duan xia 	判斷下	c=1 d=3.40869e-45 t=112144
pang bian 	旁邊	c=2 d=3.17685e-128 t=112144
pao 	拋	c=3 d=1.68102e-228 t=112144
pao 	炮	c=1 d=4.68866e-178 t=112144
pao 	跑	c=155 d=3.94205e-14 t=112144
pao bu chu 	跑不出	c=1 d=1.64084e-120 t=112144
pao chu 	拋出	c=1 d=3.16953e-189 t=112144
pao chu 	跑出	c=5 d=3.98981e-44 t=112144
pao chu lai 	拋出來	c=7 d=4.47606e-44 t=112144
pao chu lai 	跑出來	c=1 d=1.67844e-210 t=112144
pao dao 	跑到	c=2 d=1.43608e-140 t=112144
pao dao le 	跑到了	c=1 d=1.08733e-220 t=112144
pao de 	跑得	c=1 d=2.70797e-161 t=112144
pao duan 	跑端	c=1 d=9.42735e-160 t=112144
pao guo 	跑過	c=1 d=1.76785e-56 t=112144
pao guo qu 	跑過去	c=2 d=2.59701e-110 t=112144
pao hui lai 	跑回來	c=1 d=2.18126e-87 t=112144
pao jiao ben 	跑腳本	c=1 d=2.12351e-183 t=112144
pao le 	跑了	c=7 d=1.75903e-56 t=112144
pao lu 	跑路	c=10 d=0.00382958 t=112144
pao lu le 	跑路了	c=1 d=1.04306e-231 t=112144
pao ma deng 	跑馬燈	c=1 d=1.008e-123 t=112144
pao man 	跑滿	c=1 d=1.06546e-40 t=112144
pao qi 	拋棄	c=6 d=2.09331e-44 t=112144
pao shu ju 	跑數據	c=1 d=9.05887e-44 t=112144
pao wan 	跑完	c=2 d=1.28233e-102 t=112144
pao xia 	拋下	c=2 d=1.60939e-157 t=112144
pao xia 	跑下	c=4 d=1.03425e-102 t=112144
pao yi fen 	跑一份	c=1 d=5.00249e-58 t=112144
pao yi xia 	跑一下	c=3 d=2.95582e-15 t=112144
pao yue ya mian 	跑月牙面	c=1 d=4.07179e-48 t=112144
pei 	配	c=4 d=7.50456e-06 t=112144
pei 	陪	c=1 d=3.18658e-17 t=112144
pei ou 	配偶	c=1 d=1.73091e-131 t=112144
pei se 	配色	c=2 d=1.0567e-194 t=112144
pei xun 	培訓	c=3 d=7.52789e-160 t=112144
pei zhi 	配制	c=1 d=1.14482e-238 t=112144
pei zhi 	配置	c=145 d=6.98608 t=112144
pei zhi de 	配置的	c=1 d=5.01747e-05 t=112144
pei zhi fa bu 	配置發佈	c=1 d=6.04642e-170 t=112144
pei zhi le 	配置了	c=2 d=9.44523e-06 t=112144
pen 	盆	c=1 d=5.657e-34 t=112144
pen ti 	噴嚏	c=1 d=6.92484e-207 t=112144
peng 	碰	c=1 d=2.36358e-149 t=112144
peng 	鵬	c=13 d=3.56412e-32 t=112144
peng you 	朋友	c=69 d=5.41867e-32 t=112144
peng you quan 	朋友圈	c=1 d=3.18552e-160 t=112144
peng you ye mian 	朋友頁面	c=1 d=3.39277e-225 t=112144
peng zhang 	膨脹	c=0 d=5.97932e-128 t=112144
peng zhang le 	膨脹了	c=1 d=6.00929e-127 t=112144
pi 	批	c=1 d=4.57616e-157 t=112144
pi dou 	批鬥	c=1 d=1.07756e-114 t=112144
pi fu 	皮膚	c=3 d=8.37066e-85 t=112144
pi fu ke 	皮膚科	c=1 d=4.52817e-180 t=112144
pi le 	批了	c=1 d=4.81831e-146 t=112144
pi liang 	批量	c=51 d=0.609571 t=112144
pi liang lao qu 	批量撈取	c=1 d=3.29751e-96 t=112144
pi pan 	批判	c=1 d=3.77758e-48 t=112144
pi pei 	匹配	c=15 d=0.831104 t=112144
pi qi 	脾氣	c=1 d=3.25537e-33 t=112144
pi qu 	皮區	c=0 d=3.43384e-103 t=112144
pian 	偏	c=1 d=2.95063e-200 t=112144
pian 	片	c=5 d=1.48176e-38 t=112144
pian 	騙	c=1 d=4.68945e-180 t=112144
pian cha 	偏差	c=6 d=1.09395e-27 t=112144
pian duan 	片斷	c=1 d=3.52882e-217 t=112144
pian duan 	片段	c=9 d=4.64041e-212 t=112144
pian yi 	便宜	c=1 d=5.52879e-29 t=112144
pian yi 	偏移	c=3 d=7.16412e-48 t=112144
piao 	票	c=2 d=6.35833e-56 t=112144
piao 	飄	c=1 d=4.37122e-118 t=112144
piao chuang 	飄窗	c=1 d=1.62656e-76 t=112144
piao liang 	漂亮	c=1 d=2.23306e-69 t=112144
pin 	品	c=9 d=8.49916e-29 t=112144
pin 	拼	c=5 d=1.86794e-145 t=112144
pin dao 	頻道	c=5 d=7.26891e-13 t=112144
pin fan 	頻繁	c=6 d=1.9432e-95 t=112144
pin jie 	拼接	c=13 d=7.15947e-11 t=112144
pin kong 	品控	c=1 d=5.99052e-149 t=112144
pin kong 	頻控	c=11 d=7.8947e-05 t=112144
pin lei 	品類	c=1 d=2.59268e-61 t=112144
pin lun 	品論	c=3 d=1.50667e-87 t=112144
pin lv 	頻率	c=2 d=2.681e-14 t=112144
pin pin 	頻頻	c=1 d=2.2555e-69 t=112144
pin tai 	貧胎	c=1 d=7.62786e-80 t=112144
ping 	屏	c=40 d=6.58535e-07 t=112144
ping 	平	c=7 d=3.10891e-32 t=112144
ping 	評	c=23 d=3.66232e-07 t=112144
ping an 	平安	c=1 d=3.19918e-34 t=112144
ping ban 	平板	c=1 d=7.62762e-109 t=112144
ping bi 	屏蔽	c=31 d=1.43826e-11 t=112144
ping bu 	平補	c=1 d=3.77108e-204 t=112144
ping chang 	平常	c=1 d=1.14175e-177 t=112144
ping dan 	平淡	c=1 d=1.12551e-38 t=112144
ping fang 	平方	c=1 d=4.43247e-164 t=112144
ping gu 	評估	c=12 d=1.42149e-20 t=112144
ping guo 	蘋果	c=17 d=2.43961e-51 t=112144
ping heng dian 	平衡點	c=1 d=4.02036e-163 t=112144
ping jia 	評價	c=3 d=2.42329e-163 t=112144
ping ju 	平局	c=2 d=1.29458e-200 t=112144
ping jun 	平均	c=19 d=5.39171e-36 t=112144
ping jun zhi 	平均值	c=1 d=3.67007e-120 t=112144
ping kou lun 	屏口轮	c=1 d=2.56565e-26 t=112144
ping le 	平了	c=1 d=1.17731e-38 t=112144
ping liang 	平梁	c=1 d=0.603505 t=112144
ping lu 	平爐	c=4 d=2.60515e-88 t=112144
